Stim,Stim_Deriv,Cont,Cont_Deriv
4.571079e-02,5.667420e-04,8.407095e-01,-1.460685e-02
4.628582e-02,5.624954e-04,8.291523e-01,-1.409160e-02
4.683779e-02,5.422616e-04,8.180879e-01,-1.360175e-02
4.737235e-02,5.488275e-04,8.075103e-01,-1.309881e-02
4.793745e-02,5.757690e-04,7.974517e-01,-1.257529e-02
4.852589e-02,5.652564e-04,7.879210e-01,-1.204462e-02
4.906995e-02,5.061865e-04,7.789235e-01,-1.152870e-02
4.954025e-02,4.366705e-04,7.704245e-01,-1.106002e-02
4.994528e-02,3.779688e-04,7.623643e-01,-1.064848e-02
5.029817e-02,3.299828e-04,7.546882e-01,-1.028647e-02
5.060723e-02,2.803220e-04,7.473519e-01,-9.973495e-03
5.086079e-02,2.060854e-04,7.403017e-01,-9.723698e-03
5.102138e-02,-2.801855e-04,7.334648e-01,-9.935362e-03
5.030240e-02,-5.175592e-02,7.259912e-01,-6.122212e-02
-5.248849e-02,-2.321260e-01,6.165807e-01,-2.422727e-01
-4.139469e-01,-3.174749e-01,2.470043e-01,-4.303603e-01
-6.874329e-01,-6.355154e-02,-2.385869e-01,-5.378295e-01
-5.410427e-01,2.222412e-01,-8.231091e-01,-5.254421e-01
-2.429442e-01,2.556748e-01,-1.283934e+00,-3.455209e-01
-2.968895e-02,1.606624e-01,-1.508621e+00,-1.423177e-01
7.838307e-02,7.371599e-02,-1.563044e+00,-1.586834e-02
1.177448e-01,1.997660e-02,-1.534832e+00,3.863184e-02
1.183378e-01,-7.975826e-03,-1.480254e+00,5.023944e-02
1.017947e-01,-1.786889e-02,-1.428827e+00,4.117163e-02
8.260161e-02,-1.706532e-02,-1.392383e+00,2.570192e-02
6.766576e-02,-1.217738e-02,-1.371895e+00,1.170737e-02
5.824870e-02,-7.313882e-03,-1.363440e+00,1.989190e-03
5.303992e-02,-3.960895e-03,-1.362388e+00,-3.673915e-03
5.032887e-02,-2.087632e-03,-1.365259e+00,-6.558877e-03
4.886664e-02,-1.595899e-03,-1.369977e+00,-7.469541e-03
