,Subject,ai_dmn,cope,fb,roi,roi_nogsr,signal,signal_nogsr
0,CCD012,0.509151383573,3,FEEDBACK,-0.156102125309,-1.42080615568,-0.237542881769,-0.0697533446528
1,CCD012,0.509151383573,4,FEEDBACK,-0.142337272175,-1.00172723812,-0.110109549969,-0.00507762048823
2,CCD012,-2.48674884569,3,NOFEEDBACK,0.10128055588,-0.340435247236,-2.15987111422,-0.211006817784
3,CCD012,-2.48674884569,4,NOFEEDBACK,-0.0844727516291,-1.34427595834,1.23187507449,-0.0266454203232
4,CCD014,3.41548290433,3,FEEDBACK,0.0173148241044,-3.12968680913,-2.32789226643,-0.34279886854
5,CCD014,3.41548290433,4,FEEDBACK,-0.0293263777529,-2.94564411472,3.63940372684,-0.0471547999726
6,CCD014,3.42040315047,3,NOFEEDBACK,-0.271907013248,-9.92475714792,1.14444113465,-0.344874288176
7,CCD014,3.42040315047,4,NOFEEDBACK,-0.481239072992,-13.9203220567,8.55434791962,-0.117033688964
8,CCD015,2.11182380679,3,NOFEEDBACK,-0.172307455126,-1.73071756833,1.95207024162,-0.126194884134
9,CCD015,2.11182380679,4,NOFEEDBACK,-0.231523979714,-2.21922552763,5.45042539766,-0.0456247974967
10,CCD015,3.23766791519,3,FEEDBACK,0.212109116484,10.6487660965,-5.22302321775,-0.347382758966
11,CCD015,3.23766791519,4,FEEDBACK,0.096808655917,-16.2621173545,-3.51121337282,-0.314577301722
12,CCD016,6.08174090988,3,FEEDBACK,0.253199957775,-0.443207509374,-6.99377735079,-0.56846099461
13,CCD016,6.08174090988,4,FEEDBACK,0.258581249831,0.0707620457763,-2.9973298687,-0.374713342928
14,CCD016,3.88892891539,3,NOFEEDBACK,-0.0216661535141,-1.37063423203,-2.77802072554,-0.342201538828
15,CCD016,3.88892891539,4,NOFEEDBACK,-0.269321034472,-2.02663669076,4.68030447992,-0.0221293816207
16,CCD017,4.36737243176,3,NOFEEDBACK,-0.0722274179329,-1.97383011178,-0.147386654147,-0.235881788527
17,CCD017,4.36737243176,4,NOFEEDBACK,-0.104071846992,-2.10920351064,1.8354603384,-0.163371247049
18,CCD017,8.59588207297,3,FEEDBACK,0.189874334933,-0.853749544334,-0.0121266659132,-0.185763693704
19,CCD017,8.59588207297,4,FEEDBACK,0.237216267328,45.3534308278,1.15869591998,-0.0813673172916
20,CCD018,2.97047914669,3,FEEDBACK,0.365787679792,1.17809756789,-1.47743935449,-0.202757270646
21,CCD018,2.97047914669,4,FEEDBACK,0.323545534935,0.897748331151,0.0492246813988,-0.134293266605
22,CCD018,2.92930468933,3,NOFEEDBACK,0.124930374774,0.356928259102,-0.422981385122,-0.098928400794
23,CCD018,2.92930468933,4,NOFEEDBACK,-0.0357178366346,-0.202315966778,2.46856944592,0.0481585447857
24,CCD019,-0.0948735477684,3,NOFEEDBACK,-0.107195816699,-3.70280222971,3.78724655846,-0.0418326705812
25,CCD019,-0.0948735477684,4,NOFEEDBACK,-0.203307744335,-4.94619247324,5.25377610669,-0.0245756446648
26,CCD019,1.14963668098,3,FEEDBACK,0.18542865415,0.647894576635,0.104719576324,-0.0998656201707
27,CCD019,1.14963668098,4,FEEDBACK,0.229204269711,1.09699907631,2.53584400005,0.0571741005255
28,CCD020,4.61219088122,3,FEEDBACK,0.122538695908,0.199394591315,-0.563127157022,-0.184805461822
29,CCD020,4.61219088122,4,FEEDBACK,0.202974205521,0.514797170648,2.01605158295,-0.17097385936
30,CCD020,3.13771021856,3,NOFEEDBACK,-0.0067942736397,-1.32010058104,-0.168629976487,-0.120765512134
31,CCD020,3.13771021856,4,NOFEEDBACK,-0.0960002145933,-1.91689006211,6.11893536703,0.0924819620707
32,CCD021,0.250142229365,3,NOFEEDBACK,-0.215739475317,-2.34998672963,0.644201774821,-0.0651007360518
33,CCD021,0.250142229365,4,NOFEEDBACK,-0.203659697234,-2.01583629134,4.77510650302,0.0753104370876
34,CCD021,2.73451974862,3,FEEDBACK,0.0582870476419,-0.247325251716,0.588638528039,-0.115626122041
35,CCD021,2.73451974862,4,FEEDBACK,0.0416069161855,-0.774487242454,1.89587182544,-0.135132072314
36,CCD022,-0.83715169646,3,FEEDBACK,0.117018949051,-0.0610846057802,-5.56064155415,-0.269779599968
37,CCD022,-0.83715169646,4,FEEDBACK,0.131023780754,-0.160949237203,-3.90332319576,-0.238546119556
38,CCD022,-1.48266517398,3,NOFEEDBACK,-0.011498227275,-0.361668421375,-3.06015917843,-0.138263125123
39,CCD022,-1.48266517398,4,NOFEEDBACK,-0.0141472991067,-0.530920384211,-3.75547010383,-0.1652270399
40,CCD023,5.68677410412,3,NOFEEDBACK,-0.0641708924844,-0.323360870432,2.11205030719,0.0479594834812
41,CCD023,5.68677410412,4,NOFEEDBACK,-0.0485038281273,-0.242026011585,2.9750882199,0.0832520722446
42,CCD023,5.65020909658,3,FEEDBACK,0.117643248009,-0.21798291865,-6.17323929642,-0.231920536758
43,CCD023,5.65020909658,4,FEEDBACK,0.0691438049763,-0.278054188597,-2.93386718773,-0.149614771317
44,CCD024,4.32369418087,3,FEEDBACK,0.269451431007,1.80953586593,0.511984950676,0.0138248147676
45,CCD024,4.32369418087,4,FEEDBACK,0.29289305268,1.5706631772,2.28184653288,0.0818617297176
46,CCD024,3.10655769612,3,NOFEEDBACK,-0.0205558237262,-0.1612429465,2.54182944051,0.11074218759
47,CCD024,3.10655769612,4,NOFEEDBACK,-0.0217936072753,0.00969546848901,4.09653486388,0.2083693826
48,CCD025,-0.0739387732528,3,NOFEEDBACK,-0.0378852496522,-0.245723875896,1.21296629903,0.00728354990182
49,CCD025,-0.0739387732528,4,NOFEEDBACK,-0.233022916785,-1.14932401138,5.23724562707,0.135444263279
50,CCD025,1.33448754908,3,FEEDBACK,0.058336905359,-0.631033913341,0.440132892232,-0.140758939992
51,CCD025,1.33448754908,4,FEEDBACK,-0.0446655373668,-2.04682455196,4.13382712847,-0.0158349849048
